"Age","Time of death","Cause of death","Age years"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","AGE","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","AGE","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","AGE","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","EATEN","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","AGE","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","EATEN","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","AGE","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","AGE","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","AGE","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","AGE","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","AGE","2"
"1","1","AGE","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","AGE","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","AGE","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","AGE","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","AGE","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","AGE","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","AGE","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","EATEN","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","EATEN","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","AGE","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
"1","1","HUNGER","2"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","0"
"1","1","HUNGER","1"
"1","1","HUNGER","1"
